datetime,streamflow_m^3/s
1979-05-14T00:00:00Z,0.17388947
1979-05-15T00:00:00Z,0.14703622
1979-05-16T00:00:00Z,0.34091273
1979-05-17T00:00:00Z,0.21139891
1979-05-18T00:00:00Z,0.07386853
1979-05-19T00:00:00Z,0.053338073
1979-05-20T00:00:00Z,0.052719634
1979-05-21T00:00:00Z,0.05453339
1979-05-22T00:00:00Z,0.054517627
1979-05-23T00:00:00Z,0.077918656
1979-05-24T00:00:00Z,0.10646672
1979-05-25T00:00:00Z,0.1415807
1979-05-26T00:00:00Z,0.09322054
1979-05-27T00:00:00Z,0.057414923
1979-05-28T00:00:00Z,0.053621616
1979-05-29T00:00:00Z,0.05298448
1979-05-30T00:00:00Z,0.05586669
1979-05-31T00:00:00Z,0.057603013
1979-06-01T00:00:00Z,0.05526662
1979-06-02T00:00:00Z,0.052917365
1979-06-03T00:00:00Z,0.055358015
1979-06-04T00:00:00Z,0.05965938
1979-06-05T00:00:00Z,0.053613983
1979-06-06T00:00:00Z,0.04896636
1979-06-07T00:00:00Z,0.050582513
1979-06-08T00:00:00Z,0.09941787
1979-06-09T00:00:00Z,0.07573669
1979-06-10T00:00:00Z,0.04916847
1979-06-11T00:00:00Z,0.052891526
1979-06-12T00:00:00Z,0.05165245
1979-06-13T00:00:00Z,0.05100313
1979-06-14T00:00:00Z,0.0549218
1979-06-15T00:00:00Z,0.050981745
1979-06-16T00:00:00Z,0.05099199
1979-06-17T00:00:00Z,0.17906637
1979-06-18T00:00:00Z,2.4273725
1979-06-19T00:00:00Z,3.326338
1979-06-20T00:00:00Z,1.3809139
1979-06-21T00:00:00Z,0.29211953
1979-06-22T00:00:00Z,0.1868756
1979-06-23T00:00:00Z,0.17156176
1979-06-24T00:00:00Z,0.09619086
1979-06-25T00:00:00Z,0.052953146
1979-06-26T00:00:00Z,0.06264657
1979-06-27T00:00:00Z,0.058040835
1979-06-28T00:00:00Z,0.050230086
1979-06-29T00:00:00Z,0.04509051
1979-06-30T00:00:00Z,0.05054003
1979-07-01T00:00:00Z,0.05292466
1979-07-02T00:00:00Z,0.05443613
1979-07-03T00:00:00Z,0.054898895
1979-07-04T00:00:00Z,0.060142886
1979-07-05T00:00:00Z,0.07126978
1979-07-06T00:00:00Z,0.060248524
1979-07-07T00:00:00Z,0.055677075
1979-07-08T00:00:00Z,0.05280931
1979-07-09T00:00:00Z,0.053051695
1979-07-10T00:00:00Z,0.055417698
1979-07-11T00:00:00Z,0.054141525
1979-07-12T00:00:00Z,0.053996854
1979-07-13T00:00:00Z,0.054900635
1979-07-14T00:00:00Z,0.052707348
1979-07-15T00:00:00Z,0.05103102
1979-07-16T00:00:00Z,0.049122546
1979-07-17T00:00:00Z,0.053828727
1979-07-18T00:00:00Z,0.06249741
1979-07-19T00:00:00Z,0.111914635
1979-07-20T00:00:00Z,0.08808839
1979-07-21T00:00:00Z,0.060451116
1979-07-22T00:00:00Z,0.115373686
1979-07-23T00:00:00Z,0.10294481
1979-07-24T00:00:00Z,0.06426917
1979-07-25T00:00:00Z,0.054719023
1979-07-26T00:00:00Z,0.054192822
1979-07-27T00:00:00Z,0.053346764
1979-07-28T00:00:00Z,0.053065
1979-07-29T00:00:00Z,0.054399658
1979-07-30T00:00:00Z,0.051182847
1979-07-31T00:00:00Z,0.04781591
1979-08-01T00:00:00Z,0.04942114
1979-08-02T00:00:00Z,0.053874638
1979-08-03T00:00:00Z,0.05238274
1979-08-04T00:00:00Z,0.052455544
1979-08-05T00:00:00Z,0.054911375
1979-08-06T00:00:00Z,0.051837765
1979-08-07T00:00:00Z,0.04869781
1979-08-08T00:00:00Z,0.045585006
1979-08-09T00:00:00Z,0.04978735
1979-08-10T00:00:00Z,0.053671017
1979-08-11T00:00:00Z,0.053748667
1979-08-12T00:00:00Z,0.079580545
1979-08-13T00:00:00Z,0.18841536
1979-08-14T00:00:00Z,2.3142655
1979-08-15T00:00:00Z,2.3416932
1979-08-16T00:00:00Z,0.9252117
1979-08-17T00:00:00Z,0.2558076
1979-08-18T00:00:00Z,0.16492401
1979-08-19T00:00:00Z,0.11830066
1979-08-20T00:00:00Z,0.08006418
1979-08-21T00:00:00Z,0.070866175
1979-08-22T00:00:00Z,0.29652035
1979-08-23T00:00:00Z,0.1893488
1979-08-24T00:00:00Z,0.06676772
1979-08-25T00:00:00Z,0.05348189
1979-08-26T00:00:00Z,0.054881424
1979-08-27T00:00:00Z,0.061091404
1979-08-28T00:00:00Z,0.056974586
1979-08-29T00:00:00Z,1.4556388
1979-08-30T00:00:00Z,1.7658803
1979-08-31T00:00:00Z,2.3116066
1979-09-01T00:00:00Z,1.6635728
1979-09-02T00:00:00Z,0.49033865
1979-09-03T00:00:00Z,0.09171555
1979-09-04T00:00:00Z,0.0518847
1979-09-05T00:00:00Z,0.053770605
1979-09-06T00:00:00Z,0.055789556
1979-09-07T00:00:00Z,0.043766145
1979-09-08T00:00:00Z,0.047196317
1979-09-09T00:00:00Z,0.052662116
1979-09-10T00:00:00Z,0.05074571
1979-09-11T00:00:00Z,0.0538877
1979-09-12T00:00:00Z,0.055166025
1979-09-13T00:00:00Z,0.05581606
1979-09-14T00:00:00Z,0.049154013
1979-09-15T00:00:00Z,0.04971812
1979-09-16T00:00:00Z,0.05169501
1979-09-17T00:00:00Z,0.051351093
1979-09-18T00:00:00Z,0.04919778
1979-09-19T00:00:00Z,0.04686147
1979-09-20T00:00:00Z,0.06221201
1979-09-21T00:00:00Z,0.060016904
1979-09-22T00:00:00Z,0.052274376
1979-09-23T00:00:00Z,0.04670487
1979-09-24T00:00:00Z,0.04728572
1979-09-25T00:00:00Z,0.04460659
1979-09-26T00:00:00Z,0.26016057
1979-09-27T00:00:00Z,0.2001557
1979-09-28T00:00:00Z,0.07821092
1979-09-29T00:00:00Z,0.05389194
1979-09-30T00:00:00Z,0.053664047
1979-10-01T00:00:00Z,0.04844217
1979-10-02T00:00:00Z,0.04880088
1979-10-03T00:00:00Z,0.05180752
1979-10-04T00:00:00Z,0.04978463
1979-10-05T00:00:00Z,0.049998283
1979-10-06T00:00:00Z,0.049565945
1979-10-07T00:00:00Z,0.053129576
1979-10-08T00:00:00Z,0.052042052
1979-10-09T00:00:00Z,0.05140436
1979-10-10T00:00:00Z,0.052667547
1979-10-11T00:00:00Z,0.054715864
1979-10-12T00:00:00Z,0.053040005
1979-10-13T00:00:00Z,0.050779514
1979-10-14T00:00:00Z,0.049200512
1979-10-15T00:00:00Z,0.095883474
1979-10-16T00:00:00Z,1.5646315
1979-10-17T00:00:00Z,0.9103182
1979-10-18T00:00:00Z,0.19173864
1979-10-19T00:00:00Z,0.597137
1979-10-20T00:00:00Z,3.03654
1979-10-21T00:00:00Z,2.375985
1979-10-22T00:00:00Z,1.1622491
1979-10-23T00:00:00Z,0.66109616
1979-10-24T00:00:00Z,1.003026
1979-10-25T00:00:00Z,0.67016244
1979-10-26T00:00:00Z,1.1387659
1979-10-27T00:00:00Z,0.7471872
1979-10-28T00:00:00Z,0.215541
1979-10-29T00:00:00Z,0.4628951
1979-10-30T00:00:00Z,0.33261532
1979-10-31T00:00:00Z,0.24586508
1979-11-01T00:00:00Z,0.76604885
1979-11-02T00:00:00Z,0.52630204
1979-11-03T00:00:00Z,0.31374076
1979-11-04T00:00:00Z,0.6506718
1979-11-05T00:00:00Z,1.15594
1979-11-06T00:00:00Z,0.9859319
1979-11-07T00:00:00Z,0.42105782
1979-11-08T00:00:00Z,0.15992849
1979-11-09T00:00:00Z,0.09890149
1979-11-10T00:00:00Z,0.072878785
1979-11-11T00:00:00Z,0.06192345
1979-11-12T00:00:00Z,0.059517346
1979-11-13T00:00:00Z,0.050365347
1979-11-14T00:00:00Z,0.050840497
1979-11-15T00:00:00Z,0.052018162
1979-11-16T00:00:00Z,0.046913
1979-11-17T00:00:00Z,0.24661957
1979-11-18T00:00:00Z,1.2849171
1979-11-19T00:00:00Z,0.7388156
1979-11-20T00:00:00Z,0.13026279
1979-11-21T00:00:00Z,0.057563793
1979-11-22T00:00:00Z,0.049960926
1979-11-23T00:00:00Z,0.047546864
1979-11-24T00:00:00Z,0.047126535
1979-11-25T00:00:00Z,1.0008373
1979-11-26T00:00:00Z,0.6045857
1979-11-27T00:00:00Z,0.11021743
1979-11-28T00:00:00Z,0.060749445
1979-11-29T00:00:00Z,0.05096863
1979-11-30T00:00:00Z,0.05008364
1979-12-01T00:00:00Z,0.04864363
1979-12-02T00:00:00Z,0.04905996
1979-12-03T00:00:00Z,0.84165883
1979-12-04T00:00:00Z,1.5335976
1979-12-05T00:00:00Z,1.1288233
1979-12-06T00:00:00Z,0.6110435
1979-12-07T00:00:00Z,0.66435677
1979-12-08T00:00:00Z,0.8301146
1979-12-09T00:00:00Z,0.9300896
1979-12-10T00:00:00Z,0.8944787
1979-12-11T00:00:00Z,0.41307172
1979-12-12T00:00:00Z,0.10564928
1979-12-13T00:00:00Z,0.05784469
1979-12-14T00:00:00Z,0.19423367
1979-12-15T00:00:00Z,0.39940265
1979-12-16T00:00:00Z,0.50029963
1979-12-17T00:00:00Z,0.46681497
1979-12-18T00:00:00Z,0.42723152
1979-12-19T00:00:00Z,0.3769952
1979-12-20T00:00:00Z,0.47547042
1979-12-21T00:00:00Z,0.39128047
1979-12-22T00:00:00Z,0.3608728
1979-12-23T00:00:00Z,0.18230247
1979-12-24T00:00:00Z,0.0635913
1979-12-25T00:00:00Z,0.065022156
1979-12-26T00:00:00Z,0.05980771
1979-12-27T00:00:00Z,0.04831474
1979-12-28T00:00:00Z,0.047330353
1979-12-29T00:00:00Z,0.051522475
1979-12-30T00:00:00Z,0.047696248
1979-12-31T00:00:00Z,0.042775102
1980-01-01T00:00:00Z,0.2845443
1980-01-02T00:00:00Z,0.39890587
1980-01-03T00:00:00Z,0.18487538
1980-01-04T00:00:00Z,0.17375791
1980-01-05T00:00:00Z,0.18355855
1980-01-06T00:00:00Z,1.2265091
1980-01-07T00:00:00Z,1.0027827
1980-01-08T00:00:00Z,0.2846486
1980-01-09T00:00:00Z,0.07118513
1980-01-10T00:00:00Z,0.28296232
1980-01-11T00:00:00Z,0.18484834
1980-01-12T00:00:00Z,0.06736214
1980-01-13T00:00:00Z,3.7798367
1980-01-14T00:00:00Z,6.0602317
1980-01-15T00:00:00Z,4.881483
1980-01-16T00:00:00Z,2.9457877
1980-01-17T00:00:00Z,1.3621224
1980-01-18T00:00:00Z,0.388859
1980-01-19T00:00:00Z,0.09078447
1980-01-20T00:00:00Z,0.05641395
1980-01-21T00:00:00Z,0.053085297
1980-01-22T00:00:00Z,0.21149202
1980-01-23T00:00:00Z,0.14287838
1980-01-24T00:00:00Z,0.4885072
1980-01-25T00:00:00Z,0.79904264
1980-01-26T00:00:00Z,0.36316848
1980-01-27T00:00:00Z,0.079371765
1980-01-28T00:00:00Z,0.05298102
1980-01-29T00:00:00Z,0.055281136
1980-01-30T00:00:00Z,0.05330235
1980-01-31T00:00:00Z,0.04902183
1980-02-01T00:00:00Z,0.048977662
1980-02-02T00:00:00Z,1.0982866
1980-02-03T00:00:00Z,1.9137712
1980-02-04T00:00:00Z,3.7415147
1980-02-05T00:00:00Z,2.4265296
1980-02-06T00:00:00Z,1.2755008
1980-02-07T00:00:00Z,1.0355909
1980-02-08T00:00:00Z,0.56311804
1980-02-09T00:00:00Z,0.34838
1980-02-10T00:00:00Z,0.3563116
1980-02-11T00:00:00Z,0.4782302
1980-02-12T00:00:00Z,0.53188777
1980-02-13T00:00:00Z,0.45364377
1980-02-14T00:00:00Z,0.469631
1980-02-15T00:00:00Z,0.43104923
1980-02-16T00:00:00Z,1.1471634
1980-02-17T00:00:00Z,1.3267587
1980-02-18T00:00:00Z,2.3160381
1980-02-19T00:00:00Z,3.634931
1980-02-20T00:00:00Z,2.6849506
1980-02-21T00:00:00Z,1.697978
1980-02-22T00:00:00Z,0.9456319
1980-02-23T00:00:00Z,0.3713952
1980-02-24T00:00:00Z,0.30321968
1980-02-25T00:00:00Z,0.8869967
1980-02-26T00:00:00Z,1.5777286
1980-02-27T00:00:00Z,2.2774217
1980-02-28T00:00:00Z,1.9581681
1980-02-29T00:00:00Z,1.9981635
1980-03-01T00:00:00Z,1.4309981
1980-03-02T00:00:00Z,0.8466442
1980-03-03T00:00:00Z,1.2773521
1980-03-04T00:00:00Z,1.4404517
1980-03-05T00:00:00Z,1.9127586
1980-03-06T00:00:00Z,1.6903415
1980-03-07T00:00:00Z,1.2313331
1980-03-08T00:00:00Z,1.0015733
1980-03-09T00:00:00Z,1.0256133
1980-03-10T00:00:00Z,1.0300593
1980-03-11T00:00:00Z,0.93277645
1980-03-12T00:00:00Z,0.46372935
